Rainfall,Avg Temp,Relative Humidity,Sand %,PH Level,Phosohorus,Potassium,Clay %,Category
1077.95,16.3333333333333,55.3183333333333,52.24,6.3,78.25,401.84,16.334,Medium
929.38,16.8683333333333,54.9666666666666,52.24,6.3,78.25,401.84,16.334,Medium
1277.08,16.2541666666666,58.9333333333333,52.24,6.3,78.25,401.84,16.334,Medium
1179.9,16.255,59.0183333333333,52.24,6.3,78.25,401.84,16.334,Medium
907.95,17.2133333333333,51.2391666666666,52.24,6.3,78.25,401.84,16.334,High
1180.77,17.3091666666666,54.3141666666666,52.24,6.3,78.25,401.84,16.334,High
1354.63,16.0608333333333,61.56,52.24,6.3,78.25,401.84,16.334,High
872.18,16.465,56.9008333333333,52.24,6.3,78.25,401.84,16.334,High
1449.3,16.3775,65.29,52.24,6.3,78.25,401.84,16.334,High
939.05,16.805,57.7624999999999,52.24,6.3,78.25,401.84,16.334,High
927.37,16.7991666666666,58.8466666666666,52.24,6.3,78.25,401.84,16.334,High
835.93,17.58,53.2408333333333,52.24,6.3,78.25,401.84,16.334,High
937.65,17.4166666666666,55.8874999999999,52.24,6.3,78.25,401.84,16.334,High
383.88,10.1583333333333,54.8683333333333,44.54,6.2,168.54,418.121,10.56,Low
1070.86,9.76,65.1925,44.54,6.2,168.54,418.121,10.56,Low
917.79,9.485,63.9091666666666,44.54,6.2,168.54,418.121,10.56,Low
926.85,10.155,64.83,44.54,6.2,168.54,418.121,10.56,Low
